대상지점,도로명,구간,설계속도,차선수(편도),가변 차로수,,,,중차량 구성비,날씨,강수량,낮/밤,지형(* 특수경사로로 통일),경사(%),경사구간 길이(km),길어깨폭원(m),장애물 위치(* 대부분의 고속도로는 한쪽 장애물),차선 폭(m). 3.5m로 통일
target,line,section,design_speed,lane,lane_closed,P_T1,P_T2,P_T3,hv_ratio,weather,precipitation,day_night,landform,slope,slope_length,side_clearance,obstacle,lane_width
8,영동선,동수원IC→신갈IC,100,4,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
9,영동선,신갈IC→동수원IC,100,4,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
7,영동선,동군포IC→부곡IC,100,2,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
2,수도권제1순환선,하남JC→상일IC,100,5,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
1,수도권제1순환선,송파IC→서하남IC,100,4,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
6,수도권제1순환선,조남JC→도리JC,100,4,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
5,수도권제1순환선,성남IC→판교JC,100,4,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
3,수도권제1순환선,강일IC→상일IC,100,5,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
4,수도권제1순환선,상일IC→하남JC,100,5,1,0.11,0.11,0.11,0.33,sunny,,day,flatland,0,0,1.5,one_side,3.5
