지점이름,지점번호,시간,2021.12.31,2021.12.30,2021.12.29,2021.12.28,2021.12.27,2021.12.26,2021.12.25,2021.12.24,2021.12.23,2021.12.22,2021.12.21,2021.12.20,2021.12.19,2021.12.18,2021.12.17,2021.12.16,2021.12.15,2021.12.14,2021.12.13,2021.12.12,2021.12.11,2021.12.10,2021.12.09,2021.12.08,2021.12.07,2021.12.06,2021.12.05
name,target,time,fri_4,thu_4,wed_4,tue_4,mon_4,sun_4,sat_3,fri_3,thu_3,wed_3,tue_3,mon_3,sun_3,sat_2,fri_2,thu_2,wed_2,tue_2,mon_2,sun_2,sat_1,fri_1,thu_1,wed_1,tue_1,mon_1,sun_1
송파IC→서하남IC,1,00H,800,745,740,682,688,611,972,795,764,753,732,571,485,"1,072",847,0,828,799,727,918,"1,215",967,741,"1,000",850,712,836
송파IC→서하남IC,1,01H,585,545,558,565,479,407,675,577,544,557,551,444,347,739,640,0,591,584,522,621,787,693,558,682,667,497,541
송파IC→서하남IC,1,02H,503,427,402,449,393,264,501,540,448,446,481,370,309,540,505,0,468,463,414,438,616,517,453,497,528,417,387
송파IC→서하남IC,1,03H,496,453,456,453,411,228,459,509,465,481,441,361,228,474,477,0,441,460,433,341,527,539,456,510,511,396,303
송파IC→서하남IC,1,04H,662,661,684,714,710,260,564,716,724,728,688,636,250,610,725,0,668,692,720,425,721,775,653,725,783,726,359
송파IC→서하남IC,1,05H,"1,354","1,640","1,751","1,860","2,038",422,"1,029","1,855","1,917","1,952","1,944","2,174",415,"1,384","1,724",0,"1,772","1,948","2,374",834,"1,711","2,108","1,957","1,212","2,274","2,315",715
송파IC→서하남IC,1,06H,"2,915","3,516","3,651","3,887","4,358",740,"1,912","3,836","3,914","4,029","3,975","3,719",719,"2,339","3,586",0,"3,922","4,047","4,553","1,552","2,929","4,047","4,019","3,308","3,780","4,397","1,316"
송파IC→서하남IC,1,07H,"4,652","5,229","5,043","5,629","5,691","1,183","2,409","5,203","5,710","5,666","5,610","5,212","1,134","3,078","5,091",0,"5,327","5,474","5,786","2,199","3,682","5,563","5,640","5,623","4,954","5,559","1,882"
송파IC→서하남IC,1,08H,"4,890","5,543","5,209","5,341","4,963","1,790","3,296","5,613","5,835","5,690","5,729","5,108","1,689","4,097","4,938",0,"5,476","5,538","5,407","2,681","4,811","5,481","5,637","5,502","5,761","5,462","2,659"
송파IC→서하남IC,1,09H,"4,843","5,469","5,216","5,544","4,909","2,657","4,580","5,370","5,713","5,579","5,474","5,169","2,675","5,146","5,078",0,"5,153","5,465","5,072","3,631","5,880","5,372","5,600","5,541","5,312","5,145","3,716"
송파IC→서하남IC,1,10H,"5,058","5,204","5,521","5,885","5,270","3,614","5,507","5,913","4,572","5,559","5,733","5,421","3,707","4,676","5,278",0,"5,465","5,679","5,167","4,988","5,387","5,399","5,777","5,524","5,418","5,662","4,892"
송파IC→서하남IC,1,11H,"5,453","5,098","5,412","5,461","5,004","4,356","5,215","5,766","5,167","5,704","5,796","5,463","4,223","4,515","5,109",0,"5,638","5,532","5,501","5,264","5,050","5,516","5,629","5,028","5,553","5,353","4,954"
송파IC→서하남IC,1,12H,"5,383","5,081","5,376","5,148","3,982","4,438","4,441","5,833","5,120","5,178","5,368","4,882","4,501","4,885","5,417",0,"5,052","4,903","4,837","5,381","5,002","5,430","5,044","4,467","4,783","4,895","5,301"
송파IC→서하남IC,1,13H,"5,386","5,703","5,269","5,210","5,072","4,445","4,970","5,684","5,348","4,894","5,220","5,076","4,455","5,760","5,509",0,"4,877","4,524","4,338","5,365","5,217","5,604","5,266","4,683","4,504","4,940","5,514"
송파IC→서하남IC,1,14H,"6,092","5,762","5,625","5,804","5,538","4,804","5,293","5,712","5,631","5,133","5,256","5,191","4,465","5,457","4,858",0,"5,347","5,447","4,665","5,540","5,464","5,809","5,620","4,993","4,554","5,537","5,361"
송파IC→서하남IC,1,15H,"5,113","5,282","5,458","5,659","5,949","4,835","4,931","5,843","6,100","5,348","4,585","5,762","3,915","4,863","4,870",0,"5,781","5,697","5,263","5,409","5,546","5,615","5,794","4,926","5,236","5,322","5,071"
