지점번호,시간,,2021.06.05,2021.06.04,2021.06.03,2021.06.02,2021.06.01,2021.05.31,2021.05.30
target,time,avg,sat,fri,thu,wed,tue,mon,sun
5,00H,257.8571429,345,246,247,259,251,241,216
5,01H,233.5714286,304,231,234,235,224,198,209
5,02H,227.1428571,262,229,217,247,239,214,182
5,03H,226.7142857,244,221,231,264,255,219,153
5,04H,301.4285714,309,312,308,324,337,334,186
5,05H,496.1428571,511,511,500,506,534,602,309
5,06H,851.1428571,860,868,768,896,954,"1,185",427
5,07H,1383.571429,"1,295","1,409","1,421","1,486","1,461","1,925",688
5,08H,1415,"1,577","1,475","1,489","1,513","1,445","1,586",820
5,09H,1560.285714,"2,187","1,610","1,412","1,513","1,460","1,447","1,293"
5,10H,1670.714286,"2,657","1,724",955,"1,619","1,612","1,538","1,590"
5,11H,1742.428571,"2,561","1,579","1,845","1,419","1,518","1,608","1,667"
5,12H,1495.285714,"2,386","1,476","1,236","1,202","1,262","1,477","1,428"
5,13H,1397.142857,"2,059","1,461","1,136","1,206","1,190","1,240","1,488"
5,14H,1444.428571,"2,040","1,589","1,159","1,241","1,271","1,260","1,551"
5,15H,1508.285714,"2,163","1,744","1,222","1,187","1,285","1,228","1,729"
5,16H,1464,"1,979","1,872","1,229","1,166","1,197","1,158","1,647"
5,17H,1417.142857,"1,785","1,881","1,220","1,224","1,170","1,096","1,544"
5,18H,1214.428571,"1,547","1,724",940,907,961,"1,013","1,409"
5,19H,1007.571429,"1,140","1,697",715,801,726,782,"1,192"
5,20H,819.2857143,834,"1,424",652,633,578,638,976
5,21H,649.2857143,632,"1,099",510,492,513,516,783
5,22H,496.4285714,471,795,376,403,392,415,623
5,23H,351.1428571,298,488,305,324,305,336,402
6,00H,274.2857143,349,268,276,285,277,260,205
6,01H,247,292,245,239,275,252,217,209
6,02H,232.7142857,277,224,216,252,256,216,188
6,03H,247.5714286,262,272,235,277,286,235,166
6,04H,318.1428571,321,333,315,339,359,354,206
6,05H,539,569,575,541,543,571,685,289
6,06H,930.2857143,964,925,874,967,"1,041","1,280",461
6,07H,1470,"1,372","1,545","1,523","1,521","1,585","2,027",717
6,08H,1479.714286,"1,625","1,556","1,564","1,578","1,538","1,604",893
6,09H,1644.142857,"2,354","1,656","1,517","1,577","1,559","1,503","1,343"
6,10H,1759.571429,"2,768","1,762","1,067","1,674","1,728","1,635","1,683"
6,11H,1767,"2,572","1,643","1,737","1,459","1,564","1,698","1,696"
6,12H,1546,"2,405","1,510","1,283","1,296","1,342","1,517","1,469"
6,13H,1471.428571,"2,113","1,556","1,225","1,290","1,271","1,279","1,566"
6,14H,1516.857143,"2,139","1,677","1,214","1,267","1,335","1,339","1,647"
6,15H,1549.285714,"2,254","1,739","1,260","1,241","1,328","1,257","1,766"
6,16H,1508.142857,"2,024","1,847","1,285","1,256","1,251","1,219","1,675"
6,17H,1472.285714,"1,840","1,920","1,215","1,285","1,264","1,171","1,611"
6,18H,1324.142857,"1,574","1,871","1,043","1,091","1,057","1,165","1,468"
6,19H,1058.571429,"1,170","1,800",735,908,748,856,"1,193"
6,20H,846.5714286,839,"1,472",665,629,628,666,"1,027"
6,21H,649.4285714,635,"1,120",516,492,476,517,790
6,22H,490.5714286,456,770,380,397,419,422,590
6,23H,364.4285714,301,489,318,333,316,356,438
1,00H,272,316,251,275,280,258,261,263
1,01H,214,227,206,223,213,242,213,174
1,02H,199.2857143,192,197,223,208,222,173,180
1,03H,202,197,206,189,194,236,242,150
1,04H,266.1428571,232,316,267,286,274,306,182
1,05H,367.2857143,325,380,378,375,389,512,212
1,06H,525,446,522,515,516,523,864,289
1,07H,706.4285714,681,701,664,687,701,"1,131",380
1,08H,824.5714286,913,835,816,822,828,972,586
1,09H,1086.571429,"1,201","1,144","1,073","1,077","1,046","1,138",927
