num,LOS,CNT,start_at,end_at
01_1,B,1,567,1014
01_1,A,1,1014,2088
01_1,A,2,2364,3009
01_1,A,3,3891,4788
01_1,B,2,4947,5496
01_1,C,1,5496,6243
01_1,A,4,6954,8289
01_1,A,5,103684,104323
01_1,B,3,104326,105187
01_1,A,6,107146,107779
01_1,A,7,201545,202616
01_1,B,4,203225,203852
01_1,A,8,203852,204434
01_1,B,5,205319,205949
01_1,A,9,205952,206483
02_1,A,1,2631,3636
02_1,B,1,6036,6510
02_1,B,2,8073,8769
02_1,A,2,100594,101629
02_1,B,3,101971,102964
02_1,A,3,103534,104524
02_1,B,4,104542,105193
02_1,A,4,105193,106999
02_1,A,5,107287,107878
02_1,A,6,108373,108925
02_1,A,7,203831,204608
02_1,B,5,205301,205856
02_1,A,8,207029,207638
02_2,C,1,486,1059
02_2,A,1,1143,1869
02_2,A,2,2115,2793
02_2,B,1,5478,5931
02_2,A,3,7866,8706
02_2,B,2,101008,101632
02_2,C,1,102508,103195
02_2,B,3,103732,104278
02_2,A,1,106018,107206
03_1,B,1,504,1071
03_1,A,1,2022,2817
03_1,B,2,4365,4878
03_1,C,1,7584,8202
03_1,B,3,100501,101407
03_1,A,2,102022,102817
03_1,B,3,104371,104905
03_1,C,2,107560,108202
03_1,D,1,200606,201230
03_1,B,4,201503,202190
03_1,B,5,202580,203273
03_1,B,6,203756,204617
03_1,C,3,207092,207500
03_1,A,3,207857,208688
04_1,B,1,375,933
04_1,A,1,2007,2517
04_1,C,1,3183,3708
04_1,B,2,4176,5163
04_1,C,2,5163,5646
04_1,B,3,5646,6264
04_1,A,2,6588,7533
04_1,A,3,100801,101404
04_1,B,4,102310,102835
04_1,D,1,103891,104470
04_1,B,5,106489,107164
04_1,A,4,201215,201920
04_1,A,5,202916,203729
04_1,A,6,204002,204557
04_1,C,1,206057,206495
04_2,B,1,552,1188
04_2,D,1,1608,2031
04_2,B,2,3288,4173
04_2,D,2,8004,8349
04_2,C,1,8343,8670
04_2,C,2,100507,101497
04_2,C,3,101893,102406
04_2,A,1,103999,104659
04_2,C,4,104722,105181
04_2,A,2,105874,106678
04_2,C,5,108220,108547
05_1,D,1,789,1308
05_1,C,1,2322,2739
05_1,B,1,2739,3282
05_1,D,2,6549,7263
05_1,C,2,7566,8388
05_1,A,1,100441,101137
05_1,B,2,101137,101773
05_1,B,3,104350,104815
05_1,D,3,104923,105520
05_1,D,4,107047,107632
05_1,D,5,107737,108649
05_1,C,3,108649,109009
05_1,A,2,200618,201296
05_1,B,4,201296,202109
05_1,B,5,202985,203444
05_1,C,4,203444,203906
05_1,C,5,205255,206087
05_1,C,6,207476,208157
05_1,C,7,208271,208907
06_1,B,1,1812,2256
06_1,A,1,4719,5214
06_1,D,1,5700,6174
06_1,D,2,7014,7509
06_1,C,1,7509,7905
06_1,C,2,7986,8604
06_1,C,3,101815,102556
06_1,D,3,103867,104284
06_1,C,4,104284,104827
06_1,C,5,105100,105736
06_1,C,6,106885,107353
06_1,B,2,107779,108169
06_1,A,2,108169,108643
06_2,A,1,456,939
06_2,B,1,1428,2433
06_2,D,1,2508,3015
06_2,C,1,3879,4341
06_2,D,2,4869,5310
06_2,C,2,5310,5676
06_2,C,3,6171,6540
06_2,B,2,6756,7596
06_2,C,4,8277,8814
06_2,B,3,100462,101467
06_2,D,3,104161,104689
06_2,C,5,106087,106564
07_1,C,1,564,1278
07_1,C,2,1365,1929
07_1,D,1,1929,2316
07_1,C,3,2316,2706
07_1,C,4,3075,3600
07_1,D,2,4470,4965
07_1,D,3,6066,6483
07_1,C,5,6483,7062
07_1,B,1,7062,8328
07_1,A,1,8580,8940
07_1,D,4,102433,102907
07_1,B,2,103396,104353
07_1,B,3,105943,106465
07_1,C,6,106465,107212
07_1,C,7,107996,108745
07_1,B,4,201008,201428
07_1,C,8,201428,202424
07_1,B,5,203219,204626
07_1,C,9,204626,205115
07_1,C,10,205550,206063
07_1,C,11,206948,207359
08_1,D,1,561,2355
08_1,D,2,3633,4176
08_1,D,3,5049,5553
08_1,B,1,6564,7461
08_1,A,1,7986,8850
08_1,C,1,100675,101152
08_1,A,2,101299,102481
08_1,B,1,102487,103339
08_1,A,3,103339,104887
08_1,C,2,105166,105583
08_1,B,2,105586,106066
08_1,B,3,106558,107272
08_1,A,4,107272,107968
08_1,B,4,107968,108343
08_1,C,3,108343,108898
