num,LOS,CNT,start_at,end_at
02_1,B,1,513,1092
02_1,A,1,1092,1569
02_1,C,1,1698,2358
02_1,B,2,2358,2916
02_1,A,2,2916,3336
02_1,B,3,3336,3990
02_1,C,2,3990,4134
02_1,D,1,4134,4308
02_1,B,4,4338,5310
02_1,A,3,5310,5877
02_1,C,3,5877,6594
02_1,A,4,6693,7455
02_1,B,5,7455,7890
02_1,A,5,7890,8112
02_1,C,4,8199,8325
02_1,B,6,8472,8940
02_1,B,7,100510,100750
02_1,A,6,100750,100945
02_1,B,8,100945,101251
02_1,D,2,101344,101557
02_1,A,7,101650,101896
02_1,B,9,101896,101997
02_1,C,5,103246,103369
02_1,D,3,103369,103705
02_1,B,10,103975,104683
02_1,A,8,104878,105355
02_1,D,4,105478,105601
02_1,C,6,105643,106063
02_1,A,9,106120,106522
02_1,C,7,106609,106912
02_1,B,11,106912,107389
02_1,A,10,107407,107650
02_1,B,12,107650,108889
02_1,B,13,200453,200996
02_1,C,8,200996,201266
02_1,B,14,201266,202064
02_1,A,11,202064,202445
02_1,B,15,202445,203051
02_1,A,12,203051,203228
02_1,C,9,203414,203660
02_1,B,16,203660,204035
02_1,A,13,204035,204389
02_1,C,10,204485,204635
02_1,B,17,204635,204932
02_1,C,11,204932,205040
02_1,D,5,205040,205154
02_1,B,18,205054,205553
02_1,A,14,205553,205748
02_1,B,19,205748,205988
02_1,A,15,205988,206480
02_1,B,20,206480,206834
02_1,A,16,206834,207062
02_1,C,12,207119,207278
02_1,B,21,207278,207542
02_1,A,17,207542,208124
02_1,B,22,208124,208424
02_1,C,12,208424,208559
02_1,A,18,208655,208850
02_1,C,13,208895,209036
02_2,A,1,396,744
02_2,C,1,855,1047
02_2,B,1,1047,1794
02_2,C,2,1794,1980
02_2,B,2,1980,2181
02_2,D,1,2208,2397
02_2,C,3,2397,2913
02_2,B,3,2913,3540
02_2,A,2,3540,3654
02_2,C,4,3729,3957
02_2,B,4,3957,4389
02_2,C,5,4389,4626
02_2,B,5,4626,5205
02_2,A,3,5205,5397
02_2,B,6,5397,5991
02_2,A,4,5991,6609
02_2,C,6,6663,7083
02_2,A,5,7101,7416
02_2,B,7,7416,7848
02_2,C,7,7848,8067
02_2,B,8,8448,8616
02_2,C,8,8616,8814
02_2,A,6,100462,100615
02_2,B,9,100615,100750
02_2,C,9,100750,100906
02_2,B,10,100906,101005
02_2,C,10,101005,101269
02_2,B,11,101269,102001
02_2,C,11,102136,102274
02_2,D,1,102274,102583
02_2,C,12,102583,102679
02_2,A,7,102796,103354
02_2,B,12,103354,103600
02_2,A,8,103600,103810
02_2,C,13,103870,104116
02_2,B,13,104116,104275
02_2,C,14,104275,104458
02_2,D,2,104458,104596
02_2,C,15,104596,104896
02_2,A,9,104944,105265
02_2,C,16,1005265,1005613
02_2,B,14,105613,105742
02_2,C,17,105742,105934
02_2,A,10,105946,106156
02_2,C,18,106234,106567
02_2,B,15,106705,106951
02_2,A,11,106951,107299
02_2,B,16,107299,108337
02_2,C,19,108337,108532
02_2,B,17,108532,108673
02_2,A,12,108673,109096
02_2,B,18,200480,200657
02_2,C,20,200657,200861
02_2,A,13,200909,201290
02_2,B,19,201290,201488
02_2,C,21,201488,201716
02_2,C,22,201812,202037
02_2,B,20,202037,202187
02_2,A,14,202187,202355
02_2,C,23,202466,202601
02_2,B,21,202601,202727
02_2,C,24,202727,203126
02_2,A,15,203162,203603
02_2,A,16,203675,206198
