num,LOS,CNT,start_at,end_at
02_3,B,1,507,1266
02_3,C,1,1266,1560
02_3,A,1,1650,1830
02_3,B,2,1830,2244
02_3,C,2,2244,2493
02_3,B,3,2715,2892
02_3,A,2,2892,3354
02_3,B,4,3759,4101
02_3,A,3,4101,4485
02_3,B,5,4995,5403
02_3,A,4,5403,5571
02_3,C,3,5652,5778
02_3,B,6,5778,5976
02_3,B,7,6213,6420
02_3,A,5,6420,6633
02_3,B,8,6633,6930
02_3,A,6,6930,7194
02_3,B,9,7722,7917
02_3,C,4,7917,8244
02_3,A,7,8355,8958
02_3,C,5,100441,100804
02_3,B,10,100819,101257
02_3,A,8,101257,101536
02_3,B,11,101536,101770
02_3,A,9,101770,102046
02_3,B,12,102046,102490
02_3,A,10,102490,103162
02_3,B,13,103714,103894
02_3,C,6,103894,104071
02_3,A,11,104107,104224
02_3,C,7,104326,104455
02_3,B,14,104455,104791
02_3,A,12,104791,105139
02_3,A,13,105139,105883
02_3,A,14,105982,106495
02_3,B,15,106930,107119
02_3,C,8,107254,107368
02_3,B,16,107368,107509
02_3,A,15,107893,108487
02_3,A,16,201500,202124
02_3,B,17,202124,203150
02_3,B,18,203408,203825
02_3,A,17,203825,204521
02_3,B,19,204716,205946
02_3,A,18,205946,206219
02_3,A,19,206558,207383
02_3,C,9,207440,207677
02_3,A,20,207719,208958
02_4,B,1,492,807
02_4,A,1,807,3702
02_4,B,2,3702,3894
02_4,A,2,3894,4704
02_4,B,3,4704,4896
02_4,A,3,4893,5205
02_4,B,4,5445,5673
02_4,A,4,5673,5949
02_4,B,5,5949,6492
02_4,A,5,6492,7062
02_4,B,6,7062,7746
02_4,A,6,7746,8076
02_4,B,7,8076,8967
02_4,B,8,100432,100585
02_4,A,7,100585,100789
02_4,B,9,100789,101146
02_4,C,1,101146,101371
02_4,B,10,101371,101554
02_4,A,8,101554,101953
02_4,B,11,101953,102436
02_4,A,9,102439,102910
02_4,C,2,103000,103219
02_4,B,12,103219,103807
02_4,A,10,103807,103954
02_4,B,13,103954,104116
02_4,A,11,104116,104281
02_4,B,14,104281,104589
02_4,A,12,104589,104908
02_4,B,15,104908,105292
02_4,C,3,105292,105976
02_4,C,4,106087,106435
02_4,B,16,106435,107449
02_4,A,13,107449,107674
02_4,B,17,107674,108487
02_4,A,14,108487,108733
02_4,B,18,108733,108970
02_4,A,15,200423,200567
02_4,B,19,200567,201806
02_4,A,16,201806,201938
02_4,C,5,202154,202370
02_4,B,20,202370,202517
02_4,A,17,202517,202658
02_4,B,21,202658,202793
02_4,A,18,202793,202967
02_4,B,22,202967,203147
02_4,A,19,203147,203288
02_4,B,23,203288,203456
02_4,A,20,203456,203609
02_4,B,24,203609,204830
02_4,A,21,204830,205085
02_4,B,25,205085,205256
02_4,A,22,205256,205619
02_4,B,26,205619,206405
02_4,C,6,206405,206855
02_4,B,27,206855,207842
02_4,A,23,207842,208076
02_4,B,28,208076,208367
02_4,C,7,208367,208574
02_4,B,29,208574,208721
02_4,A,24,208721,208940
