num,LOS,CNT,start_at,end_at
02_5,B,1,483,987
02_5,A,1,987,1338
02_5,B,2,1338,1602
02_5,A,2,1602,1971
02_5,B,3,1971,2157
02_5,A,3,2157,2574
02_5,B,4,2574,3276
02_5,A,4,3276,3669
02_5,B,5,3669,3786
02_5,A,5,3786,4140
02_5,C,1,4209,4389
02_5,A,6,4497,4752
02_5,B,6,4752,5553
02_5,A,7,5553,5682
02_5,B,7,5682,5769
02_5,A,8,5769,6285
02_5,B,8,6285,6834
02_5,A,9,6834,7068
02_5,B,9,7068,7176
02_5,A,10,7176,8841
02_5,B,10,8841,9024
02_5,A,11,100720,105286
02_5,B,11,105286,105508
02_5,A,12,105508,105946
02_5,B,12,105946,106189
02_5,A,13,106189,106765
02_5,B,13,107482,107935
02_5,A,14,200354,200522
02_5,B,14,200522,200705
02_5,A,15,200705,202784
02_5,B,15,202784,202880
02_5,A,16,202880,205346
02_5,B,16,205346,205619
02_5,A,17,205619,206960
02_5,B,17,206960,207176
02_5,A,18,207176,207635
02_5,A,19,207740,208868
02_6,A,1,1029,4236
02_6,B,1,4236,4368
02_6,A,2,4368,4662
02_6,B,2,4662,5121
02_6,A,3,5121,8667
02_6,A,4,100564,108802
02_6,A,5,200657,208856
