num,LOS,CNT,start_at,end_at
01_2,B,1,441,3609
01_2,C,1,3609,3849
01_2,B,2,3849,4071
01_2,A,1,4071,4371
01_2,C,2,4494,4836
01_2,B,3,4836,8373
01_2,C,3,8373,8544
01_2,B,4,8544,8988
01_2,C,4,100480,100930
01_2,B,5,100930,103087
01_2,C,5,103087,103612
01_2,D,1,103612,103903
01_2,C,6,103903,106657
01_2,B,6,106657,108853
01_2,B,7,200480,200924
01_2,C,7,200924,201314
01_2,B,8,201314,201572
01_2,C,8,201572,202019
01_2,D,2,202019,202223
01_2,C,9,202223,202745
01_2,B,9,202745,203255
01_2,A,2,203255,203645
01_2,B,10,203645,203846
01_2,A,3,203846,204059
01_2,D,3,204194,204407
01_2,C,10,204407,204536
01_2,B,11,204536,205361
01_2,C,11,205361,205838
01_2,B,12,205838,206627
01_2,C,12,206627,207041
01_2,B,13,207041,208205
01_2,A,4,208205,208541
01_2,B,14,208541,208967
01_3,A,1,501,771
01_3,B,1,771,1005
01_3,A,2,1005,1263
01_3,B,2,1263,1593
01_3,A,3,1593,2187
01_3,B,3,2187,2340
01_3,A,4,2340,2796
01_3,A,5,2796,3684
01_3,B,4,3684,3858
01_3,A,6,3858,4623
01_3,A,7,4623,6168
01_3,B,5,6168,6360
01_3,A,8,6360,6810
01_3,B,6,6810,6954
01_3,A,9,6954,7458
01_3,B,7,7458,7701
01_3,A,10,7701,8538
01_3,B,8,100807,101302
01_3,A,11,101302,104083
01_3,A,12,104416,105808
01_3,A,13,106195,106930
01_3,A,14,107038,108328
01_3,A,15,200396,202841
01_3,B,9,202841,202961
01_3,A,16,202961,203420
01_3,A,17,203420,204641
01_3,B,10,204641,205313
01_3,A,18,205313,205652
01_3,A,19,205757,209090
