num,LOS,CNT,start_at,end_at
01_1,B,1,414,735
01_1,C,1,735,1329
01_1,B,2,1329,1914
01_1,A,1,1914,2124
01_1,D,1,2247,3447
01_1,C,2,3930,4887
01_1,B,3,4887,5142
01_1,D,2,5307,5508
01_1,C,3,5772,6639
01_1,D,3,6639,7065
01_1,B,4,7218,7809
01_1,C,4,7809,8616
01_1,D,4,8616,8943
01_1,B,5,100465,101080
01_1,D,5,101455,102040
01_1,D,6,101760,103075
01_1,B,6,103165,103795
01_1,C,5,103795,104650
01_1,B,7,104650,105790
01_1,D,7,105850,106195
01_1,C,6,106195,107140
01_1,B,8,107140,108115
01_1,A,2,108115,108835
01_1,C,7,200495,201260
01_1,C,8,201485,201920
01_1,B,9,201920,202535
01_1,C,9,202535,202985
01_1,C,10,203330,203645
01_1,D,8,203645,203930
01_1,E,1,203930,204410
01_1,D,9,205295,205730
01_1,C,11,205730,206165
01_1,D,10,206225,206570
01_1,A,3,206675,208895
